Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
M6708,Fig Tree Creek 1,Major Culvert,Culvert Major,11/22/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/22/2016,9811501,13187918,15144600,827580,4505519,29350,,,,,51.6,10,3,,,,,,,,,,0.703,34
M6710,Kaaprivier Tributary,Major Culvert,Culvert Major,11/22/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/22/2016,2541522,3498838,4396630,46994,1808114,29350,,,,,28,5.35,3,,,,,,,,,,0.589,47
M6367,Suidkaaprivier Tributary,Major Culvert,Culvert Major,11/21/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/21/2016,351708,678488,733500,80140,301652,24450,,,,,10,3,1,,,,,,,,,,0.589,47
M6366,Kendle River Culvert,Major Culvert,Culvert Major,11/21/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/21/2016,619891,705397,753549,80910,52748,24450,,,,,6.7,4.6,0.3,,,,,,,,,,0.93,8
M6744,Mlondozi River Bridge,Bridge,Bridge,11/21/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/21/2016,4220933,8335794,10212930,1191920,4800077,30100,39,8.7,7.3,,,,,,,,,,,,,1,0.53,47
M6745,Dalmeinspruit Bridge,Bridge,Bridge Cellular,11/21/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/21/2016,5944103,9167107,10562400,274510,4343787,24450,,,,,18,24,1.5,,,,,,,,,,0.589,47
M6373,Mlondozi River Tributary,Major Culvert,Culvert Major,11/21/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/21/2016,2463723,3800850,4767750,343290,1960737,24450,,,,,15,13,1.5,,,,,,,,,,0.589,47
M6386,Mpuluzi River Tributary No.1,Major Culvert,Culvert Major,11/21/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/21/2016,2283247,3616172,4074560,115650,1675663,34240,,,,,34,3.5,6,,,,,,,,,,0.589,47
M6387,Mambazane River Culvert,Major Culvert,Culvert Major,11/21/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/21/2016,6063656,9538518,10374720,44460,4266604,34240,,,,,40.4,7.5,7,,,,,,,,,,0.589,47
M6324,Wilgerivier Tributary,Major Culvert,Culvert Major,11/14/2016,,,NK: Nkangala District Municipality,6/30/2022,11/14/2016,56909,701985,765774,393940,314925,24450,,,,,17.4,1.8,0.4,,,,,,,,,,0.589,47
M6354,Wilgerivier Tributary,Major Culvert,Culvert Major,11/14/2016,,,NK: Nkangala District Municipality,6/30/2022,11/14/2016,1,946234,1649642,1333290,678415,24450,,,,,17.3,3.9,2,,,,,,,,,,0.589,47
M6716,Evander Dam Tributary,Major Culvert,Culvert Major,11/14/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/14/2016,1439958,2110032,2619206,102100,1077149,24450,,,,,42.85,2.5,0.4,,,,,,,,,,0.589,47
M6717,Driefontein Culvert,Major Culvert,Culvert Major,11/14/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/14/2016,1991226,3423267,3815500,255150,1569124,29350,,,,,52,2.5,3,,,,,,,,,,0.589,47
M6380,Brakfontein Tributary 2,Major Culvert,Culvert Major,11/15/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/15/2016,1228631,1929189,2091942,3000,860311,24450,,,,,18.6,4.6,0.8,,,,,,,,,,0.589,47
M6384,Kromdraaispruit Tributary 2,Major Culvert,Culvert Major,11/15/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/15/2016,758776,1432261,1564800,162500,643524,24450,,,,,4,16,0.5,,,,,,,,,,0.589,47
M6369,Watervalrivier Tributary,Major Culvert,Culvert Major,11/15/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/15/2016,2403506,3659654,4222515,82500,1736509,24450,,,,,15.7,11,0.3,,,,,,,,,,0.589,47
K2,Moleti River Bridge,Bridge,Bridge,11/16/2016,,,NK: Nkangala District Municipality,6/30/2022,11/16/2016,5746462,6848662,8747812,202050,2799300,30100,23.25,12.5,5.33,,,,,,,,,,,,,1,0.68,32
M6715,Kromdraaispruit tributary 5,Major Culvert,Culvert Major,11/15/2016,,,GS: Gert Sibande District Municipality,6/30/2022,11/15/2016,2292074,3831359,4243863,206500,1745289,29350,,,,,23.9,6.05,4,,,,,,,,,,0.589,47
M6767,Bejani River Culvert,Major Culvert,Culvert Major,11/10/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/10/2016,699614,1209370,1594844,239350,655880,24450,,,,,17.92,3.64,1.5,,,,,,,,,,0.589,47
2525,Blinkwater Railway Bridge,Bridge,Bridge,11/17/2016,,,NK: Nkangala District Municipality,6/30/2022,11/17/2016,5083640,10058396,11159880,273100,5803136,30100,29.9,12.4,5.84,,,,,,,,,,,,,1,0.48,55
1204,Selonsrivier,Bridge,Bridge,11/16/2016,,,NK: Nkangala District Municipality,6/30/2022,11/16/2016,1510630,3371761,3863155,142800,2209724,30100,26.3,4.88,5.3,,,,,,,,,,,,,1,0.428,68
M6736,Saaiwaterspruit,Major Culvert,Culvert Major,11/17/2016,,,NK: Nkangala District Municipality,6/30/2022,11/17/2016,1661260,3385057,3874836,620050,1593526,24450,,,,,11.2,14.15,0,,,,,,,,,,0.589,47
M6362,Hartebeespruit Tributary,Major Culvert,Culvert Major,11/16/2016,,,NK: Nkangala District Municipality,6/30/2022,11/16/2016,216404,473504,513450,85890,211156,24450,,,,,7,3,0,,,,,,,,,,0.589,47
1198,Klipfontein Railway Bridge,Bridge,Bridge,11/17/2016,,,NK: Nkangala District Municipality,6/30/2022,11/17/2016,1245268,2048654,2492280,75640,1171372,30100,9.2,9,5.1,,,,,,,,,,,,,1,0.53,47
M6725,Tweefontein Mine Road Bridge,Bridge,Bridge,1/18/2017,,,NK: Nkangala District Municipality,6/30/2022,1/18/2017,42869114,43809769,46110690,13830,3227748,45140,72.55,14.08,10,,,,,,,,,,,,,1,0.93,7
M6724,Mine Road,Bridge,Bridge,1/18/2017,,,NK: Nkangala District Municipality,6/30/2022,1/18/2017,51752014,53049733,55294700,225000,3317682,45140,87,14.08,10.28,,,,,,,,,,,,,1,0.94,6
M6332,Leeuwfontein No. 2,Major Culvert,Culvert Major,1/18/2017,,,NK: Nkangala District Municipality,6/30/2022,1/18/2017,852156,1345343,1485582,22480,610946,24450,,,,,9.8,6.2,1,,,,,,,,,,0.589,47
M6331,Unknown,Major Culvert,Culvert Major,1/18/2017,,,NK: Nkangala District Municipality,6/30/2022,1/18/2017,1045285,1819872,2053800,163890,844625,24450,,,,,14,6,1.5,,,,,,,,,,0.589,47
M6326,Unknown,Major Culvert,Culvert Major,1/18/2017,,,NK: Nkangala District Municipality,6/30/2022,1/18/2017,551798,884093,964430.3,16010,396622,24450,,,,,16.1,2.45,1.5,,,,,,,,,,0.589,47
M6401,Olifantsrivier Tributary,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,1676086,2539970,3110040,154950,1279004,24450,,,,,12,10.6,0.3,,,,,,,,,,0.589,47
M6403,Joubertsvleispruit,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,1169296,2237088,2570184,343900,1056988,24450,,,,,8,13.14,0,,,,,,,,,,0.589,47
M6402,Joubertsvleispruit Tributary,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,2827888,3835227,4890000,51100,2011012,24450,,,,,8,25,0.4,,,,,,,,,,0.589,47
M6743,Ngwempisi,Bridge,Bridge Cellular,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,1795251,2708053,3374100,191250,1387599,24450,,,,,23,6,0,,,,,,,,,,0.589,47
M6740,Iswepe Railway Bridge,Bridge,Bridge,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,5368424,10457978,11660140,811450,5480264,30100,27.67,14,6.39,,,,,,,,,,,,,1,0.53,47
M6738,Edinburgh Railway Bridge 2,Bridge,Bridge,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,5318965,10743909,11582480,819750,5443765,30100,29.6,13,5.62,,,,,,,,,,,,,1,0.53,47
M6739,Edinburgh Railway Bridge 1,Bridge,Bridge,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,7979804,14603181,16585100,810300,7794996,30100,38,14.5,5.65,,,,,,,,,,,,,1,0.53,47
M6733,Uitgezoght Railway Bridge 2,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,7835073,14324161,14811460,15000,6961385,30100,36.45,13.5,5.45,,,,,,,,,,,,,1,0.53,47
M6732,Uitgezoght Railway Bridge 1,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,14530202,26218700,27422550,3750,12888598,45140,45,13.5,8,,,,,,,,,,,,,1,0.53,47
M6731,Holland Railway Bridge,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,6772123,12596298,12921930,76500,6073307,30100,31.8,13.5,6,,,,,,,,,,,,,1,0.53,47
M6730,Mooifontein Road Over Road,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,4866142,8893016,9195550,7500,4321908,30100,47,6.5,5.25,,,,,,,,,,,,,1,0.53,47
M6729,Sterkspruit Railway Bridge,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,8296433,15261800,15925910,144300,7485177,30100,48.1,11,5.8,,,,,,,,,,,,,1,0.53,47
145,Klein-Vaalrivier Tributary,Major Culvert,Culvert Major,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,363785,715162,794625,104050,326790,24450,,,,,6.5,5,0,,,,,,,,,,0.589,47
M6741,Ernstdraai Railway Bridge,Bridge,Bridge,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,8768924,16095647,18428720,998300,8661500,30100,39.5,15.5,6.3,,,,,,,,,,,,,1,0.53,47
M6742,Sandspruit,Major Culvert,Culvert Major,1/24/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/24/2017,384749,771288,826410,101800,339861,24450,,,,,6.5,5.2,0,,,,,,,,,,0.589,47
M6400,Swartwaterspruit,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,2613664,3901686,4761638,189750,1958223,24450,,,,,20.5,9.5,0,,,,,,,,,,0.589,47
M6408,Leispruit Tributary,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,3092189,4800634,5750640,293500,2364951,24450,,,,,24,9.8,1.2,,,,,,,,,,0.589,47
M6411,Klein Komatierivier,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,1130310,2416766,2995125,633070,1231745,24450,,,,,9.8,12.5,0.3,,,,,,,,,,0.589,47
M6322,Joubertsvleispruit Bridge,Bridge,Bridge,1/23/2017,,,EH: Ehlanzeni District Municipality,6/30/2022,1/23/2017,6066538,6371674,6531700,73260,391902,30100,15.5,14,6,,,,,,,,,,,,,1,0.94,6
M6410,Komatierivier Tributary,Major Culvert,Culvert Major,1/23/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/23/2017,1278729,2019399,2322750,88790,955231,24450,,,,,19,5,0,,,,,,,,,,0.589,47
33,MABOLA RIVER BRIDGE P7/2,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,6534350,11726885,12792500,117750,6140400,30100,34,12.5,5,,,,,,,,,,,,,1,0.52,48
M6769,R545 - Overpass Bridge ,Bridge,Bridge,6/8/2018,,,NK: Nkangala District Municipality,6/30/2022,,,,,,,45140,80.15,13.2,11,,,,,,,,,,,,,1,0.96,4
2760,Bridge over River,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/26/2019,20400716,38477529,42380800,111590,21868494,30100,128,11,0,,,,,,,,,,,,,1,0.484,54
2765,Unknown,Major Culvert,Culvert Major,10/10/2018,,,NK: Nkangala District Municipality,6/30/2022,10/10/2018,2093842,3606262,3771452,126600,1551009,24450,,,,,11.46,13.46,0,,,,,,,,,,0.589,47
2801,Railway bridge,Bridge,Bridge,5/4/2014,D455,9.31,NK: Nkangala District Municipality,6/30/2022,2/9/2018,10994737,13879901,16256620,222330,5039552,30100,40.31,13.4,6.5,,,,,,,,,,,,,1,0.69,31
2803,Bridge over Unknown River,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/27/2019,2634900,4473691,5628700,134420,2859380,30100,17,11,0,,,,,,,,,,,,,1,0.492,52
2813,Unknown,Bridge,Bridge,10/11/2018,,,NK: Nkangala District Municipality,6/30/2022,10/11/2018,3626494,7997458,8703295,585900,4490901,30100,28.6,10.11,0,,,,,,,,,,,,,1,0.484,54
2814,2814,Bridge,Bridge,10/21/2019,,,NK: Nkangala District Municipality,6/30/2022,10/21/2019,4347430,8890938,9030000,23090,4659480,30100,30,10,5.1,,,,,,,,,,,,,1,0.484,54
2820,Klipspruit River Bridge,Bridge,Bridge,10/25/2019,,,NK: Nkangala District Municipality,6/30/2022,9/25/2019,2245823,3670707,5297600,561905,2489872,30100,16,11,0,,,,,,,,,,,,,1,0.53,47
2858,Boesmankranspruit Bridge,Bridge,Bridge,10/25/2019,,,NK: Nkangala District Municipality,6/30/2022,9/20/2019,4407252,8401222,9070635,55500,4607883,30100,24.5,12.3,0,,,,,,,,,,,,,1,0.492,52
2859,Spookspruit,Bridge,Bridge,11/17/2016,,,NK: Nkangala District Municipality,6/30/2022,11/17/2016,7016404,13047380,14370940,54100,7300440,30100,37.3,12.8,2.75,,,,,,,,,,,,,1,0.492,52
2863,2863,Bridge,Bridge Cellular,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,3032446,5147214,5806875,30680,2743749,24450,,,,,19,12.5,0.3,,,,,,,,,,0.528,54
2865,Unknown,Major Culvert,Culvert Major,10/11/2018,,,NK: Nkangala District Municipality,6/30/2022,10/11/2018,1407841,2462823,2630940,3000,1220098,24450,,,,,6.63,16.23,0.4,,,,,,,,,,0.536,53
2871,Unknown,Bridge,Bridge,10/10/2018,,,NK: Nkangala District Municipality,6/30/2022,10/10/2018,2355665,5057770,6117283,605100,3156518,30100,14.6,13.92,0,,,,,,,,,,,,,1,0.484,54
2896,Zaalwater River Bridge,Bridge,Bridge,10/25/2019,,,NK: Nkangala District Municipality,6/30/2022,9/20/2019,3481920,5950409,7224000,346800,3395280,30100,20,12,0,,,,,,,,,,,,,1,0.53,47
2897,MARIBOU STREET,Bridge,Bridge,7/20/2018,,,GS: Gert Sibande District Municipality,6/30/2022,7/20/2018,1750466,3464630,3612000,12190,1849344,30100,8,15,4.5,,,,,,,,,,,,,1,0.488,53
29,Low's Creek,Bridge,Bridge,8/10/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/10/2019,2034840,3758201,3868452,15440,1818172,30100,15.3,8.4,3.6,,,,,,,,,,,,,1,0.53,47
2900,2900,Bridge,Bridge,8/14/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/14/2019,10903873,21112634,22181800,9570,11268353,45140,42,11.7,10,,,,,,,,,,,,,1,0.492,52
2936,ARNOT POWERSTATION,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,3668960,7442225,7525000,3240,3852800,30100,20,12.5,2.5,,,,,,,,,,,,,1,0.488,53
2937,2937,Bridge,Bridge,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,4513295,8783589,9391200,69610,4808295,30100,26,12,4.5,,,,,,,,,,,,,1,0.488,53
2939,ARNOT POWER STATION,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,1482258,2994980,3070200,16000,1571942,30100,8.5,12,3.5,,,,,,,,,,,,,1,0.488,53
2942,Unknown,Major Culvert,Culvert Major,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,1501948,2138606,2618595,39750,1076897,24450,,,,,3.06,35,0.3,,,,,,,,,,0.589,47
2943,Waterval River,Bridge,Bridge,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,4693874,8813440,9778587,195420,4889294,30100,27.3,11.9,0,,,,,,,,,,,,,1,0.5,50
2944,Truer River Bridge,Bridge,Bridge,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,4216865,8019059,8853990,210130,4426995,30100,24.25,12.13,0,,,,,,,,,,,,,1,0.5,50
2945,Truer River,Bridge,Bridge,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,7959525,14563110,16118550,99750,8059275,30100,45,11.9,0,,,,,,,,,,,,,1,0.5,50
2946,Blyde River Bridge,Bridge,Bridge,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,14042662,26378291,29866720,890700,14933362,30100,73.5,13.5,0,,,,,,,,,,,,,1,0.5,50
2948,Mpuluzi,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/27/2019,15019314,26611531,31304000,507470,15777216,30100,80,13,0,,,,,,,,,,,,,1,0.496,51
2965,2965,Bridge,Bridge,10/21/2019,,,NK: Nkangala District Municipality,6/30/2022,10/21/2019,7284665,14305688,15170400,118490,7767245,30100,42,12,4.7,,,,,,,,,,,,,1,0.488,53
2969,ARNOT RAILWAY BIDGE,Bridge,Bridge,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,4903109,9505339,10836000,341515,5591376,30100,30,12,5,,,,,,,,,,,,,1,0.484,54
2970,Unknown,Bridge,Bridge,10/9/2018,,,NK: Nkangala District Municipality,6/30/2022,10/9/2018,4932757,10045753,11173120,430340,5810023,30100,29,12.8,0,,,,,,,,,,,,,1,0.48,55
2981,2981,Major Culvert,Culvert Major,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,1520657,2624170,2934000,52700,1360643,24450,,,,,10,12,0,,,,,,,,,,0.536,53
2982,D1398,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,5477244,11137000,11137000,2160,5657596,30100,20,18.5,2,,,,,,,,,,,,,1,0.492,52
2983,D1398,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,4693890,8950536,9030000,1710,4334400,30100,25,12,2,,,,,,,,,,,,,1,0.52,48
2984,D1398,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,10614823,20324739,20414560,750,9798991,45140,33.5,13.5,8.5,,,,,,,,,,,,,1,0.52,48
3004,Ngwaritsi River,Bridge,Bridge,7/31/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,7/31/2018,17923376,32306051,38505420,1714390,18867658,30100,107.5,11.9,0,,,,,,,,,,,,,1,0.51,49
3011,Elands river Bridge,Bridge,Bridge,7/30/2018,,,NK: Nkangala District Municipality,6/30/2022,7/30/2018,4713015,8884019,9689190,131580,4844595,30100,37,8.7,0,,,,,,,,,,,,,1,0.5,50
3020,KWAZAMOKHILHE,Bridge,Bridge,8/9/2018,,,NK: Nkangala District Municipality,6/30/2022,8/9/2018,4266675,7901250,7901250,0,3634575,30100,25,10.5,3,,,,,,,,,,,,,1,0.54,46
3054,Bridge over Rail,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/27/2019,4792120,7740950,10113600,264680,5056800,30100,28,12,0,,,,,,,,,,,,,1,0.5,50
3076,Woes-Alleen Tributary,Bridge,Bridge,11/17/2016,,,NK: Nkangala District Municipality,6/30/2022,11/17/2016,7420607,13912487,16350320,623750,8305963,30100,38.8,14,0,,,,,,,,,,,,,1,0.492,52
3085,ABANDONED RAILWAY LINE,Bridge,Bridge,7/17/2018,,,GS: Gert Sibande District Municipality,6/30/2022,7/17/2018,1457520,2532373,2709000,32430,1219050,30100,7.5,12,5,,,,,,,,,,,,,1,0.55,45
3086,ABANDONED RAILWAY LINE,Bridge,Bridge,8/17/2018,,,GS: Gert Sibande District Municipality,6/30/2022,8/17/2018,2743560,4974374,5056800,37680,2275560,30100,14,12,5.6,,,,,,,,,,,,,1,0.55,45
3088,Skalpspruit,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,14103674,22098920,29250720,1106700,14040346,45140,48,13.5,10.8,,,,,,,,,,,,,1,0.52,48
3124,Unknown,Major Culvert,Culvert Major,7/20/2018,,,NK: Nkangala District Municipality,6/30/2022,7/20/2018,266707,795339,891936,258420,366809,24450,,,,,7.6,4.8,0,,,,,,,,,,0.589,47
3128,SAND RIVER BRIDGE,Bridge,Bridge,8/15/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/15/2019,15758535,30155795,32498970,490950,16249485,30100,91.5,11.8,6.5,,,,,,,,,,,,,1,0.5,50
3129,Sabie River Bridge,Bridge,Bridge,11/9/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/9/2016,15204784,22917348,32255240,922835,16127619,45140,63.8,11.2,8,,,,,,,,,,,,,1,0.5,50
3130,3130,Bridge,Bridge,8/15/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/15/2019,6633795,12560053,13319250,25830,6659625,30100,37.5,11.8,4,,,,,,,,,,,,,1,0.5,50
3131,Bejani River Bridge,Bridge,Bridge,11/10/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/10/2016,3186392,5702853,6537720,278600,3072728,30100,18.1,12,5.3,,,,,,,,,,,,,1,0.53,47
3132,Calcutta Cellular Bridge,Bridge,Bridge Cellular,11/10/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/10/2016,5291806,9211600,9723032,177400,4253826,24450,,,,,16.1,24.7,1,,,,,,,,,,0.563,50
3133,Calcutta Road over Rail Bridge,Bridge,Bridge,11/10/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/10/2016,18433774,32023598,37732530,432490,18866264,45140,64.3,13,8.8,,,,,,,,,,,,,1,0.5,50
3134,3134,Bridge,Bridge,8/15/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/15/2019,3845410,7271227,8127000,218090,4063500,30100,22.5,12,4,,,,,,,,,,,,,1,0.5,50
3135,Bridge over Saringwa River,Bridge,Bridge,11/9/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/9/2016,17967429,28790472,35773450,992500,16813519,45140,63.4,12.5,8,,,,,,,,,,,,,1,0.53,47
3136,3136,Bridge,Bridge,8/15/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/15/2019,4990650,9667336,10021080,19890,5010540,45140,18.5,12,8.5,,,,,,,,,,,,,1,0.5,50
3137,Bridge over River,Bridge,Bridge,4/29/2014,P33/5,34,EH: Ehlanzeni District Municipality,6/30/2022,4/29/2014,2926234,5795996,5859868,3700,2929934,30100,15.7,12.4,6,,,,,,,,,,,,,1,0.5,50
3138,Lisbon Bridge,Bridge,Bridge,11/9/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/9/2016,6180762,11315052,12529130,83800,6264562,30100,33.3,12.5,2.85,,,,,,,,,,,,,1,0.5,50
3151,Ghobosh,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/1/2019,6950886,11544927,13906200,419400,6535914,30100,42,11,0,,,,,,,,,,,,,1,0.53,47
3184,Unknown,Bridge,Bridge,10/9/2018,,,NK: Nkangala District Municipality,6/30/2022,10/9/2018,2955381,6458766,7537362,783150,3798831,30100,20.99,11.93,0,,,,,,,,,,,,,1,0.496,51
3195,Anny's,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/2/2019,6403465,11893485,14086800,527240,7156095,30100,39,12,0,,,,,,,,,,,,,1,0.492,52
3202,CROCODILE,Bridge,Bridge,8/12/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/12/2019,49791848,92038179,95823190,36210,45995134,45140,174,12.2,15.6,,,,,,,,,,,,,1,0.52,48
3237,D1016,Bridge,Bridge,7/20/2018,,,GS: Gert Sibande District Municipality,6/30/2022,7/20/2018,9564761,17227434,18060000,7040,8488199,30100,48,12.5,3.5,,,,,,,,,,,,,1,0.53,47
3254,WAKKERSTROOM,Bridge,Bridge,5/17/2014,0,10,GS: Gert Sibande District Municipality,6/30/2022,5/17/2014,9292926,15421306,15489460,750,6195784,30100,41.5,12.4,4.15,,,,,,,,,,,,,1,0.6,40
3255,MABOLA RIVER,Bridge,Bridge,5/17/2014,0,26.6,GS: Gert Sibande District Municipality,6/30/2022,5/17/2014,5952700,9801884,9933000,7100,3973200,30100,26.4,12.5,6.45,,,,,,,,,,,,,1,0.6,40
3256,Bridge over River,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/2/2019,2899802,5598528,6501600,481030,3120768,30100,18,12,0,,,,,,,,,,,,,1,0.52,48
3257,Bridge,Bridge,Bridge,10/25/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/2/2019,2832754,5214151,5478200,15910,2629536,30100,14,13,0,,,,,,,,,,,,,1,0.52,48
3261,Papafe,Bridge,Bridge,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,2276840,3894632,4553528,227600,2049088,30100,12.4,12.2,3,,,,,,,,,,,,,1,0.55,45
3319,Unknown,Bridge,Bridge,10/11/2018,,,NK: Nkangala District Municipality,6/30/2022,10/11/2018,5540666,9271976,11365500,483050,5341785,30100,23.57,16.02,0,,,,,,,,,,,,,1,0.53,47
3320,Unknown,Bridge,Bridge,10/11/2018,,,NK: Nkangala District Municipality,6/30/2022,10/11/2018,8356078,14627108,16248730,255750,7636904,30100,27.5,19.63,0,,,,,,,,,,,,,1,0.53,47
3337,Sandspruit Tributary,Bridge,Bridge,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,2303048,4433667,5655188,637650,2714490,30100,15.4,12.2,4.25,,,,,,,,,,,,,1,0.52,48
336,HOUTBOSLOOP,Bridge,Bridge,8/13/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/13/2019,8822995,16298480,18216700,139620,9254083,45140,34.2,11.8,9.5,,,,,,,,,,,,,1,0.492,52
3376,Slangfontein Bridge,Bridge,Bridge,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,4248764,7641995,9547720,716050,4582906,30100,24.4,13,2.5,,,,,,,,,,,,,1,0.52,48
3380,Palmetspruit,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/19/2017,4877074,8814580,9391200,6350,4507776,30100,24,13,4,,,,,,,,,,,,,1,0.52,48
3381,Palmietspruit Tributary,Bridge,Bridge,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,3336490,5662984,6998250,302600,3359160,30100,18.6,12.5,4.5,,,,,,,,,,,,,1,0.52,48
