Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
M6603,MINE CULVERT,Major Culvert,Culvert Major,11/14/2015,,,NK: Nkangala District Municipality,6/30/2022,11/14/2015,774184,1310741,1479225,96710,608331,24450,,,,,5.5,11,1,,,,,,,,,,0.589,47
1587,Railway bridge,Bridge,Bridge,9/28/2004,P120/1,11.08,NK: Nkangala District Municipality,6/30/2022,11/14/2015,885798,2031100,2285731,202210,1197723,30100,7.55,10.06,5.2,,,,,,,,,,,,,1,0.476,56
4658B,Railway Bridge,Bridge,Bridge,8/27/2013,P29/1,2.89,NK: Nkangala District Municipality,6/30/2022,11/15/2015,15017230,23750804,23855770,11905,8826635,30100,55.23,14.35,5.81,,,,,,,,,,,,,1,0.63,37
M6482,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,845284,1429967,1479225,25610,608331,24450,,,,,11,5.5,0,,,,,,,,,,0.589,47
279,Bronkhorstspruit river bridge,Bridge,Bridge,5/31/2014,P95/2,0,NK: Nkangala District Municipality,6/30/2022,11/15/2015,7544218,13667098,14327600,49410,6733972,30100,47.6,10,1,,,,,,,,,,,,,1,0.53,47
M6476,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,2783788,4571935,4841100,66410,1990902,24450,,,,,18,11,1,,,,,,,,,,0.589,47
M6480,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,3438625,5607461,5868000,16160,2413215,24450,,,,,15,16,0.15,,,,,,,,,,0.589,47
M6308,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,1148847,1907681,2139375,110710,879818,24450,,,,,7,12.5,0,,,,,,,,,,0.589,47
M6023,Bronkhorst river bridge,Bridge,Bridge,8/29/2013,0,0,NK: Nkangala District Municipality,6/30/2022,11/15/2015,12266931,21807611,23234190,47190,10920069,30100,62,12.45,1,,,,,,,,,,,,,1,0.53,47
3702,Bronkhorstspruit river bridge,Bridge,Bridge,8/29/2013,0,6.91,NK: Nkangala District Municipality,6/30/2022,11/15/2015,3472608,6114951,6484571,29060,2982903,30100,16.93,12.73,2.5,,,,,,,,,,,,,1,0.54,46
M6313,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,852936,1467000,1467000,10760,603304,24450,,,,,5,12,0.5,,,,,,,,,,0.589,47
M6269,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,1338762,2246292,2310525,21560,950203,24450,,,,,7,13.5,1,,,,,,,,,,0.589,47
M6312,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,737777,1271400,1271400,10760,522863,24450,,,,,4,13,1,,,,,,,,,,0.589,47
M6277,BRIDGE,Bridge,Bridge,11/15/2015,,,NK: Nkangala District Municipality,6/30/2022,11/15/2015,4363475,7696420,8277500,23600,3890425,30100,25,11,0,,,,,,,,,,,,,1,0.53,47
