Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District Municipality,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
M6400,Swartwaterspruit,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,81.94,65.8
M6401,Olifantsrivier Tributary,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,81.67,74.14
M6402,Joubertsvleispruit Tributary,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,78.43,74.46
M6403,Joubertsvleispruit,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,87.04,77.46
M6404,Vaalwaterspruit Tributary,Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,96.81,91.96
M6405,Witkloofspruit,Lesser Culvert,Culvert Lesser,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,100,100
M6406,CULVERT,Major Culvert,Culvert Major,6/27/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,97.22,97.97
M6407,CULVERT,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,90.28,85.05
M6408,Leispruit Tributary,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,83.48,71.47
M6409,Leispruit River,Lesser Culvert,Culvert Lesser,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,100,100
M6410,Komatierivier Tributary,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,86.94,76.39
M6411,Klein Komatierivier,Major Culvert,Culvert Major,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,80.69,59.72
M6412,CULVERT,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6413,CULVERT,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,93.06,84.23
M6414,CULVERT,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.89,98.94
M6415,CULVERT,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6416,CULVERT,Major Culvert,Culvert Major,6/29/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,94.44,84.43
M6417,CULVERT,Major Culvert,Culvert Major,6/29/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,82.5,43.64
M6418,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,96.67,97.73
M6419,BRIDGE,Bridge,Bridge,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,91.89,69.02
M6420,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,86.39,58
M6421,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,91.94,67.2
M6422,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.33,75.18
M6423,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.06,70.45
M6424,Major Culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6426,DRILLCON BRIDGE,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.36
M6427,CULVERT,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,99.17,97.24
M6428,BRIDGE,Bridge,Bridge,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,99.12,98.94
M6429,BRIDGE,Bridge,Bridge,12/6/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,96.05,80.15
M6430,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,99.44,99.19
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,97.78,96.38
M6432,BRIDGE,Bridge,Bridge,9/24/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,98.25,97.89
M6433,BRIDGE,Bridge,Bridge,9/24/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,99.12,99.19
M6434,M6434,Major Culvert,Culvert Major,8/12/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,90,50.88
M6435,CULVERT,Major Culvert,Culvert Major,9/27/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,95.56,97.6
M6436,Culvert on D1560,Major Culvert,Culvert Major,11/13/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,87.22,64.59
M6437,BRIDGE,Bridge,Bridge,11/13/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,94.66,34.04
M6438,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,100,100
M6439,CULVERT,Major Culvert,Culvert Major,9/26/2015,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,83.33,62.78
M6440,Major culvert,Major Culvert,Culvert Major,12/5/2015,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,97.22,97.97
M6441,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,98.89,98.94
M6442,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,100,100
M6443,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,93.06,76.78
M6444,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,99.44,99.59
M6445,Major Culvert,Major Culvert,Culvert Major,12/5/2015,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,90.28,86.87
M6447,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,94.44,75.85
M6448,Major Culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.33,49.3
M6449,Major Culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6450,CULVERT,Major Culvert,Culvert Major,9/27/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,97.22,84.63
M6451,CULVERT,Major Culvert,Culvert Major,9/27/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,90.28,66.23
M6452,M6452 CULVERT,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.56,97.24
M6454,CULVERT,Major Culvert,Culvert Major,9/20/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,94.72,85.74
M6455,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.06,76.78
M6456,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6457,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,86.39,59.79
M6458,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,90.28,66.23
M6459,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,90.28,38.25
M6460,CULVERT,Major Culvert,Culvert Major,11/29/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,91.39,86.99
M6462,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,99.44,99.59
M6463,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.06,76.78
M6464,CULVERT,Major Culvert,Culvert Major,9/20/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6465,CULVERT,Major Culvert,Culvert Major,9/20/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,91.94,70.13
M6466,CULVERT,Major Culvert,Culvert Major,9/20/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,99.44,99.59
M6467,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6468,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6469,Major Culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,98.89,98.94
M6470,Major culvert,Major Culvert,Culvert Major,12/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6471,BRIDGE,Bridge,Bridge,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,100,100
M6472,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,99.44,99.59
M6473,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,96.11,83.5
M6474,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,81.67,47.87
M6475,Vaalbankspruit,Major Culvert,Culvert Major,11/14/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,83.24,73.41
M6476,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,94.44,93.22
M6477,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,92.22,85.33
M6478,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6479,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6480,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,95.56,78.05
M6481,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6482,CULVERT,Major Culvert,Culvert Major,11/15/2015,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,96.67,97.73
M6483,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,95.28,85.95
M6484,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6485,M6485 CULVERT,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.33,61
M6486,M6486 CULVERT,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6487,Bethal,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.33,61
M6488,Bethal culvert,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,96.67,97.85
M6489,Joubertsvleispruit,Lesser Culvert,Culvert Lesser,1/23/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,100,100
M6490,CULVERT,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,91.39,43.53
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,88.61,61.93
M6492,CULVERT,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,97.22,87.57
M6493,M6493 CULVERT,Major Culvert,Culvert Major,9/20/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6494,VARKEN BRIDGE,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6495,LOWS CREEK,Major Culvert,Culvert Major,9/27/2015,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,87.5,78.51
M6496,CULVERT,Major Culvert,Culvert Major,9/19/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.56,97.48
M6497,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,98.61,88.18
M6498,M6498 CULVERT,Major Culvert,Culvert Major,9/12/2015,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,89.44,60.05
M6499,CULVERT,Major Culvert,Culvert Major,9/13/2015,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.5,97.65
M6500,BALFOUR RAIL BRIDGE,Bridge,Bridge,10/10/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,100,100
M6505,Unknown,Major Culvert,Culvert Major,7/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,86.94,85.43
M6506,D1217,Bridge,Bridge,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,95.38,92.29
M6507,OLIFANTS RIVER BRIDGE,Bridge,Bridge,8/9/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,93.2,88.51
M6509,Unknown,Bridge,Bridge,10/11/2018,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,91.01,86.53
M6510,D1947,Major Culvert,Culvert Major,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.5,81
M6512,Railway Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,84.38,79.45
M6514,D1148,Bridge,Bridge,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,93.75,90.48
M6515,WATERVAL RIVER BRIDGE,Bridge,Bridge,8/7/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,99.34,97.93
M6516,Unknown,Bridge,Bridge,7/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,80.71,82.04
M6517,D2902 DR JS MOROKA LOCAL MUNICIPALITY,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,99.12,91.56
M6518,SIYABUSWA,Bridge,Bridge Cellular,10/22/2019,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,84.38,57.09
M6519,KUSILE RIVER BRIDGE D2903,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,98.68,96.55
M6521,Elandsriver Bridge,Bridge,Bridge,11/16/2016,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,81.36,75.14
M6522,Kameelriver Bridge,Bridge,Bridge,11/16/2016,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,90.13,71.63
