Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District Municipality,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
1019,Railway bridge,Bridge,Bridge,9/2/2013,,P141/1,20.42,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,89.96,83.6
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.39,92.07
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,88.86,90.79
1030,Railway bridge,Bridge,Bridge,9/2/2013,,D691,3.3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,71.6,66.63
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,98.89,95.78
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,98.33,93.67
1089,Riet river bridge,Bridge,Bridge,5/4/2014,,P52/3,3.49,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,99.12,99.19
109,Revolver Creek,Bridge,Bridge,8/10/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,85.6,77.24
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,96.71,94.52
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,86.69,78.79
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,90.56,80.08
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,91.89,79.53
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,94.17,91.21
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,89.67,67.88
1172,1172,Bridge,Bridge,9/20/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.18,93.22
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,,P52/3,12.99,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,83.25,82.77
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,,0,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,91.67,83.38
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,89.91,76.1
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,97.22,97.36
1198,Klipfontein Railway Bridge,Bridge,Bridge,11/17/2016,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,82.2,84.99
1202,River Bridge,Bridge,Bridge,11/15/2012,,D927,3,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,94.57,96.61
1204,Selonsrivier,Bridge,Bridge,11/16/2016,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,87.28,81.21
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,93.64,88.15
1212,1212,Bridge,Bridge,10/3/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,84.51,58.62
1216,1216,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,98.03,95.87
1217,Bridge over River,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,89.62,88.87
1228,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,96.71,94.19
1237,D1747 GOVAN MBEKI MUNICIPALITY,Bridge,Bridge,10/12/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,93.86,79.89
1244,GROOTSPRUIT RIVER BRIDGE,Bridge,Bridge,10/16/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,99.56,91.56
1245,1245,Major Culvert,Culvert Major,10/4/2019,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,90.56,68.02
1261,MOHAMBA BRIDGE D646,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,90.76,90.09
1263,D1375  LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/10/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.9,97.47
1264,D80 DIPASELENG LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,90.57,58.99
1271,Suikerbosrant River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,79.9,72.54
1282,Steenkool River Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,84.81,60.18
1318,Sandrivier Bridge,Bridge,Bridge,11/10/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,73.68,72.98
1323,D2451 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,94.84,91.93
1330,Braam Raubenheimerdam Tributary,Major Culvert,Culvert Major,11/7/2016,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,70.14,29.91
1341,River Bridge,Bridge,Bridge,11/12/2012,,D286,22.4,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,78.07,82.77
1352,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,82.34,85.25
1378,1378,Bridge,Bridge,8/10/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,91.85,81.55
1390,1390,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,93.2,90.14
1407,Leeuspruit Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,90.46,79.73
1445,Schuilhoerspruit,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95.32,89.26
145,Klein-Vaalrivier Tributary,Major Culvert,Culvert Major,1/26/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,90,73.89
1453,WALKERSROOM RIVER BRIDGE P48/3,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,96.27,92.94
1462,Bridge over River,Bridge,Bridge,2/24/2005,,0,0,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,96.93,87.86
1464,MTITIESPRUIT,Bridge,Bridge,8/24/2013,,D323,24,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,89.11,83.61
1469,1469,Bridge,Bridge Cellular,8/13/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,92.61,84.69
1470,Bridge over River,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,86.4,78.81
1472,D1697  STEVE TSHWETE LOCAL MUNICIPALITY,Bridge,Bridge,10/13/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,96.27,83.28
1473,D1048 STEVE TSHWETE LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,97.37,90.59
1474,1474,Bridge,Bridge,9/30/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,99.12,97.7
1475,KROMDRAAI RIVER BRIDGE D686,Bridge,Bridge,11/6/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,92.32,76.95
1484,D516 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,92.93,89.2
1490,Bridge over River,Bridge,Bridge,8/17/2013,,P81/1,47.2,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,83.99,83.26
1492,P107/2 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,100,100
1496,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,97.59,97.11
1500,P51/2 STEVE TSHWETE,Bridge,Bridge,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,96.27,95.67
1503,VAALBANK P90/1,Bridge,Bridge,10/12/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,95.83,92.25
1506,River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,88.01,77.32
1508,OSHOEK JCTN,Bridge,Bridge,10/3/2019,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,90.72,82.15
1513,Dorps River Bridge,Bridge,Bridge,8/3/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,85.86,86.21
1533,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,97.01,94.58
1534,1534,Bridge,Bridge,8/13/2019,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,90.13,89.89
1541,BRIDGE ALONG D516,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.37,98.78
1544,Klippoortjiespruit river Bridge,Bridge,Bridge,9/2/2013,,0,1.53,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,83.66,82.96
1550,Bronkhorst river Bridge,Bridge,Bridge,8/26/2013,,0,0,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,78.22,75.95
1559,1559,Bridge,Bridge,9/27/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,99.56,99.59
1560,1560,Bridge,Bridge,9/21/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,96.93,95.11
157,BOESMANS RIVER BRIDGE,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,87.77,65.22
1587,Railway bridge,Bridge,Bridge,9/28/2004,,P120/1,11.08,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,88.86,87.13
1588,P120/1 EMALAHLENI LOCAL MUNICIPALITY,Major Culvert,Culvert Major,10/13/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,91.39,85.46
1589,KAMEEL RIVER BRIDGE,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,93.86,66.02
1626,KAAL RIVER BRIDGE,Bridge,Bridge,9/10/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,97.59,97.11
1642,P255/1 THEMBISILE LOCAL MUNICIPALITY,Bridge,Bridge,11/6/2017,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,95.18,82.84
165,P120/1 ,Bridge,Bridge,10/13/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,91.45,83.42
1656,Wielspruit,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,76.9,70.48
1662,P53/3 LEKWA LOCAL MUNICIPALITY,Major Culvert,Culvert Major,9/10/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
1677,Vaal,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,80.43,86.74
1692,CAFE BRIDGE,Bridge,Bridge,8/12/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,93.86,80.2
1694,NOORDKAP RIVER,Bridge,Bridge,8/11/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,87.77,86.66
1695,1695,Bridge,Bridge,9/30/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.64,97.47
1699,Bronkhorst river bridge,Bridge,Bridge,8/26/2013,,0,0.27,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,82.46,68.92
1706,1706,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,87.77,76.83
1712,BLESBOKSPRUIT CULVERT,Major Culvert,Culvert Major,10/12/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,87.5,58.94
1716,River Bridge,Bridge,Bridge,11/15/2012,,D2128,0,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,88.63,82.79
1717,LEMOENSPRUIT,Bridge,Bridge,8/12/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,92.54,91.46
1722,Railway bridge,Bridge,Bridge,8/26/2013,,P131/1,2.61,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,75.73,78.21
1736,1736,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,98.1,97.33
1754,EUREKA RIVER BRIDGE,Bridge,Bridge,8/10/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,89.04,75.01
1763,1763,Bridge,Bridge,10/22/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,90.79,81.66
1772,NOORDKAAP RIVER BRIDGE,Bridge,Bridge,8/11/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,86.18,77.82
1773,1773,Bridge,Bridge,8/11/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,89.91,78.56
1802,Riet River Bridge,Bridge,Bridge,3/14/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,79.82,83.14
1803,"Rietspruit Bridge
",Major Culvert,Culvert Major,3/19/2018,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,77,77.94
1804,Bakenlaagte river bridge,Bridge,Bridge,9/3/2013,,0,0.61,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,85.75,83.22
1825,Tributary of Steenkoolspruit Bridge,Bridge,Bridge,9/2/2013,,0,0.99,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,82.89,83.03
1839,Tributary of Bronkhorstspruit Bridge,Bridge,Bridge,8/26/2013,,P36/1,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,79.14,81.59
1840,Bosmanspruit Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,87.39,57.78
1844,1844,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,88.32,88.27
1863,Vaalriver Tributary,Bridge,Bridge,1/27/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,81.14,85.84
1864,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,90.46,88.1
1865,1865,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,93.64,93.17
1866,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,80.7,55.33
1867,Kaalspruit,Bridge,Bridge,1/26/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,80.59,79.97
1869,MACHADO RAIL BRIDGE,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,98.37,98.78
1870,SPEKBOOM RIVER,Bridge,Bridge - Arch,8/17/2013,,P8/2,11.4,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,91.91,76.78
1871,KRANSKLOOF,Bridge,Bridge Cellular,3/19/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,84.38,92.35
1872,POTLOOD,Bridge,Bridge,8/17/2013,,P8/2,6.3,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,85.67,84.64
1873,Railway Bridge,Bridge,Bridge,12/15/2013,,P30/4,0,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
1875,Bridge over Rail,Bridge,Bridge,8/17/2013,,P8/2,23.8,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,81.52,83.59
1882,DORPSRIVER BRIDGE,Bridge,Bridge,10/15/2017,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,91.85,88.2
1884,HIGHLANDS ESTATE BRIDGE,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,95.92,92.42
1887,Steenkool river bridge,Bridge,Bridge,9/2/2013,,0,0,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,81.83,84.12
1889,1889 on P17/7 (R40),Bridge,Bridge,11/7/2012,,P17/7 (R40),,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,83.67,82.88
1913,Rietspruit Bridge,Bridge,Bridge,12/20/2013,,0,11.2,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,88.6,83.17
192,MACHDODRP CULVERT D216,Major Culvert,Culvert Major,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,93.33,82.85
1939,Tributary of Suikerboskant River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,78.66,74.71
1940,P36/3,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,95.78,83.09
1943,1943 P50/1,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,94.3,80.04
1944,DRINKWATER RIVER,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,96.27,90.43
1945,Blesbok River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,88.93,73.41
1946,BRIDGE 1946 P50/1,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,99.46,99.59
1947,MORGENZONE,Bridge,Bridge,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.68,98.78
1948,P50/2 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/10/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.61,92.7
1950,HARTBEESSPRUIT RIVER BRIDGE ,Bridge,Bridge,11/6/2017,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,97.81,94.1
1951,RAIL BRIDGE P154/2,Bridge,Bridge,11/6/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,92.32,82.38
2008,D1290 DIPASELENG LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,91.17,85.18
2016,Saalklapspruit Bridge,Bridge,Bridge,8/29/2013,,0,0.31,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,81.58,65
2035,MACHADODORP P26/6,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,94.84,90.85
2036,2036 on P26/6,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,88.86,78.36
2038,Sabana River Bridge,Bridge,Bridge Cellular,3/22/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,88.78,94.72
2039,SPITSKOPSTROOM,Bridge,Bridge,8/24/2013,,P3314,1.4,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,80.98,84.31
2044,DALMANUTHA RAILWAY BRIDGE,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,98.37,98.78
2045,Culvert on P26/6 (R36),Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,97.22,95.33
2046A,Bridge over River,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,89.08,80.33
2046B,Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,95.98,97.19
2085,Koffiespruit Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,70.87,51.19
2088,D1016,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,94.29,91.38
2098,D197 STEVE TSHWETE,Bridge,Bridge,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,98.68,96.55
2099,Road over rail on Sabie - Nelspruit Railway,Bridge,Bridge,8/23/2013,,R37,54.2,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,63.78,49.31
2108,P153/1 DIPASELENG LOCAL MUNICIPALITY,Major Culvert,Culvert Major,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,91.67,68.34
2113,KLEIN OLIFANTS RIVER BRIDGE P51/2,Bridge,Bridge,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,93.2,90.02
2125,2125,Bridge,Bridge,8/12/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,87.28,77.34
2130,CULVERT P26/6 (R36),Major Culvert,Culvert Major,9/12/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,100,100
2139,Acornhoek Rail Bridge,Bridge,Bridge,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,87.53,91.73
2140,D789 crossing bridge,Bridge,Bridge,8/26/2013,,P29/1,64.89,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,77.56,74.05
2148,Zyferfontein Railway Bridge,Bridge,Bridge,1/27/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,94.3,89.26
2153,Bosch Street Bridge,Bridge,Bridge,11/23/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,89.84,95.83
2154,2154 on P17/7 (R40),Bridge,Bridge,11/7/2012,,P17/7 (R40),,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,84.65,74.51
2156,Olifants River Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,77.02,75.86
2177,Culvert,Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,83.06,58.49
2178,Koffie River Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,83.22,57.01
2209,P180/1 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,94.29,81.92
2210,Railway bridge,Bridge,Bridge,8/29/2013,,D1147,0.61,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,78.53,83.53
2211,Railway bridge,Bridge,Bridge,8/26/2013,,P131/1,0.91,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,81.66,65.5
2220,2220 on P17/7 (R40) Nelspruit Bound,Bridge,Bridge,11/7/2012,,P17/7 (R40),,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,90.79,84.84
2223,D1255 crossing bridge,Bridge,Bridge,8/26/2013,,D1255,9.69,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,77.96,82.77
2224,Holbank,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,85.08,63.66
2232,RAIL BRIDGE P182/1,Bridge,Bridge,10/13/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,98.9,97.97
2238,P182/1 STEVE TSHWETE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,10/13/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,100,100
